Title,ParentID,CollaborationPeriod,Entity,DescriptionENG,DescriptionSPA,DirectResultsENG,DirectResultsSPA
NSA-2025-53-A_3,53,,PAHO/OPS & NSA/ANE,"Provide technical assistance to national cancer control planning efforts in selected countries in the Region, and guidance on developing clinical operations and patient navigation systems to enhance the diagnosis and treatment of cancer patients.","Proporcionar asistencia técnica a los esfuerzos de planificación del control del cáncer en países seleccionados de la región, y orientación sobre el desarrollo de operaciones clínicas y sistemas de navegación para pacientes para mejorar el diagnóstico y tratamiento de pacientes con cáncer.","In collaboration with the Belize Ministry of Health, the Social Security Board, and the KHMH Oncology Unit, the following gaps have been identified: (1) access to radiation treatments; (2) pediatric oncology care; and (3) country-wide screening services for common cancers (including breast and cervical). Global Oncology has engaged local stakeholders to assess needs and advised on strategic plans for each area; updates and requests for additional work from national stakeholders are pending. GO has shared with PAHO and MoH the framework for the hospital-based cancer navigation system implemented by GO and KHMH and offered to collaborate on providing hospital cancer case data.","En colaboración con el Ministerio de Salud de Belice, la Junta de Seguridad Social y la Unidad de Oncología del KHMH, se han identificado las siguientes brechas: (1) acceso a tratamientos de radiación; (2) atención oncológica pediátrica; y (3) servicios de detección a nivel nacional para cánceres comunes (incluyendo cáncer de mama y cervical). Global Oncology ha involucrado a las partes interesadas locales para evaluar las necesidades y ha asesorado sobre planes estratégicos para cada área; se están esperando actualizaciones y solicitudes de trabajo adicional por parte de las partes interesadas nacionales. GO ha compartido con la OPS y el Ministerio de Salud el marco para el sistema de navegación de cáncer basado en hospitales implementado por GO y KHMH y se ha ofrecido a colaborar en la provisión de datos de casos de cáncer hospitalarios."
NSA-2025-51-A_1,51,,PAHO/OPS & NSA/ANE,"At each of the previous years’ Annual Meetings (2022 – 2025), both PAHO and APHA have coordinated on the following activities: 1) co-hosted two scientific sessions annually highlighting different public health topics affecting the region; 2) an APHA-PAHO collaborative exhibit at the Public Health Expo; and 3) film submissions to the Global Public Health Film Festival.","En cada una de las Reuniones Anuales de los años anteriores (2022 – 2025), tanto la OPS como la APHA han coordinado las siguientes actividades: 1) coorganizar dos sesiones científicas anuales que destacan diferentes temas de salud pública que afectan a la región; 2) una exhibición colaborativa de la APHA y la OPS en la Expo de Salud Pública; y 3) presentaciones de películas al Festival de Cine de Salud Pública Global.","These activities helped to raise the visibility of public health issues in the Americas region, sharing ideas, best practices, and lessons learned, while facilitating opportunities for future collaboration and partnerships. It has also continued to demonstrate the value of the APHA-PAHO partnership, which highlights the connections between local, national, and regional public health efforts. These activities were successful based on the number of conference attendees reached and the level of participation in both the scientific sessions and the film festival. Additionally, PAHO’s exhibit booth attracts traffic from U.S. and international public health professionals interested in learning more about PAHO’s work.","Estas actividades ayudaron a aumentar la visibilidad de los problemas de salud pública en la región de las Américas, compartiendo ideas/mejores prácticas/lecciones aprendidas y facilitando oportunidades para futuras colaboraciones/sociedades. También ha continuado demostrando el valor de la asociación entre APHA y la OPS, que destaca los vínculos entre los esfuerzos de salud pública locales, nacionales y regionales. Estas actividades fueron exitosas en función del número de asistentes a la conferencia alcanzados y el nivel de participación tanto en las sesiones científicas como en el festival de cine. Además, el stand de la OPS atrae la atención de profesionales de la salud pública de EE. UU. e internacionales interesados en aprender más sobre el trabajo de la OPS."
NSA-2025-51-A_2,51,,PAHO/OPS & NSA/ANE,"Both the American Journal of Public Health (AJPH) and the Pan American Journal of Public Health have partnered to translate selected English peer-reviewed articles for publication. A subsidiary agreement was developed to translate, publish, and disseminate articles into Spanish. Both organizations have an existing agreement for the Spanish translation of the latest edition of the Control of Communicable Diseases Manual as well as the companion volumes - Clinical Practice and Laboratory Practice.","Tanto el American Journal of Public Health (AJPH) como el Pan American Journal of Public Health se han asociado para traducir artículos seleccionados en inglés revisados por pares para su publicación. Se desarrolló un acuerdo subsidiario para traducir, publicar y difundir artículos al español. Ambas organizaciones tienen un acuerdo existente para la traducción al español de la última edición del Manual de Control de Enfermedades Transmisibles, así como de los volúmenes complementarios: Práctica Clínica y Práctica de Laboratorio.","The direct benefit of this activity has been increased access to peer-reviewed scientific information for both Spanish- and English-speaking audiences. The ability to disseminate research to a wider audience in the Americas region collectively brings greater visibility to both journals in terms of exchanging research knowledge, influencing policy development, and achieving greater programmatic impact in our region.","El beneficio directo de esta actividad ha sido el aumento del acceso a información científica revisada por pares tanto para audiencias de habla hispana como de habla inglesa. La capacidad de difundir la investigación a una audiencia más amplia en la región de las Américas aporta colectivamente una mayor visibilidad a ambas revistas en términos de intercambio de conocimientos de investigación, influencia en el desarrollo de políticas, así como lograr un mayor impacto programático en nuestra región."
NSA-2025-51-A_3,51,,PAHO/OPS & NSA/ANE,"1) Engagement in the coordination and planning of activities related to National Public Health Week, World Health Day, and Wellness Week; 2) Supporting the development of the Alliance of Public Health Associations of the Americas (APHAA/AASPA); and 3) Coordinated communications to share opportunities and resources through the organizations’ networks.","1) Participación en la coordinación y planificación de actividades relacionadas con la Semana Nacional de la Salud Pública, el Día Mundial de la Salud y la Semana del Bienestar; 2) Apoyo al desarrollo de la Alianza de Asociaciones de Salud Pública de las Américas (APHAA/AASPA); y 3) Comunicaciones coordinadas para compartir oportunidades y recursos a través de las redes de las organizaciones.","The results of these activities increased awareness of public health issues to inspire action and change among US stakeholders and the general public. By identifying opportunities to share experiences, communicate, and coordinate activities related to National Public Health Week, World Health Day, and Wellness Week, they have contributed to enhancing the value of these annual public health initiatives held throughout the year, along with partner activities and initiatives.","Los resultados de estas actividades concientizaron sobre los problemas de salud pública para inspirar acción/cambio entre los interesados en EE. UU. y el público en general. Al encontrar oportunidades para compartir experiencias, comunicaciones y la coordinación de actividades relacionadas con la Semana Nacional de la Salud Pública, el Día Mundial de la Salud y la Semana del Bienestar, han ayudado a aumentar el valor de estas iniciativas anuales de salud pública que se llevan a cabo a lo largo del año junto con actividades/iniciativas de socios."
NSA-2025-47-A_1,47,,NSA/ANE,"• I work on cross-cutting issues related to climate change, resilience, and their impacts on the water and sanitation sector, as well as on people's health.  
• Expansion of thematic activities through forums and working groups with strategic allies and regional experts, to generate technical documents, guides, and other valuable resources.","• I work on cross-cutting issues related to climate change, resilience, and their impacts on the water and sanitation sector, as well as on people's health.  
• Expansion of thematic activities through forums and working groups with strategic allies and regional references, to generate technical documents, guides, and other valuable inputs.","Consolidation of the technical link between local governments and AIDIS with the support of PAHO, to promote activities related to water, sanitation, hygiene, climate change, risk management, and air quality. -Completion of the GLASS form and technical tables, workshops, virtual and in-person meetings to review and socialize the progress of countries in meeting the SDGs in the LAC region. Support in the preparation of progress reports on the SDGs, focused on collaborative work lines with PAHO, in the LAC countries, and support for the water, sanitation, and hygiene sector, climate change, air quality, and risk management of local governments.","Consolidación del enlace técnico entre los gobiernos locales y AIDIS con el apoyo de OPS, para impulsar actividades relacionadas con agua, saneamiento, higiene, cambio climático, gestión de riesgo y calidad del aire. - Llenado de formulario GLASS y mesas técnicas, talleres, encuentros virtuales y presenciales para revisar y socializar los avances de los países en el cumplimiento de los ODS de la región de ALC. Apoyo en la elaboración de los informes de avances de los ODS, orientados a las líneas de trabajo colaborativas con OPS, en los países de ALC y apoyo al sector de agua, saneamiento e higiene, cambio climático, aire y gestión de riesgo de los gobiernos locales."
NSA-2025-47-A_2,47,,NSA/ANE,"Diagnostics of the status of water and sanitation systems in health facilities (hospitals in capital and intermediate cities).  
Support in the rehabilitation of water and sanitation services in post-emergency contexts.",Diagnósticos del estado de los sistemas de agua y saneamiento en establecimientos de salud (hospitales de ciudades capitales e intermedias). Apoyo en la rehabilitación de servicios de agua y saneamiento en contextos post-emergencia.,"Technical Advisory on the situation of water, sanitation, and hygiene in Health Facilities of ALC, applying ETRAS/OPS protocols.

Report on water, sanitation, and hygiene in health facilities of the 6 selected countries.","Asesoría Técnica sobre la situación de agua, saneamiento e higiene en Establecimientos de Salud de ALC, aplicando protocolos de ETRAS/OPS.

Reporte sobre agua, saneamiento e higiene en los establecimientos de salud de los 6 países seleccionados."
NSA-2025-47-A_3,47,,PAHO/OPS & NSA/ANE,"Joint activities (AIDIS-OPS) for the promotion and commemoration of international days to build environmentally responsible and resilient communities, considering the environmental determinants of health.","Actividades conjuntas (AIDIS-OPS) de promoción y conmemoración de los días internacionales para construir comunidades ambientalmente responsables y resilientes, considerando los determinantes ambientales de la salud.","Joint organization of activities (webinars, workshops) to commemorate international days, such as:
Inter-American Day of Air Quality
Inter-American Day of Water
Inter-American Day of Sanitation","Organización conjunta de actividades (seminarios web, talleres) para conmemorar los días internacionales, como:
Día Interamericano de la Calidad del Aire
Día Interamericano del Agua 
Día Interamericano del Saneamiento"
NSA-2025-46-A_1,46,,PAHO/OPS & NSA/ANE,,,,
NSA-2025-46-A_2,46,,PAHO/OPS & NSA/ANE,,,,
NSA-2025-46-A_3,46,,PAHO/OPS & NSA/ANE,,,,
NSA-2025-46-A_4,46,,PAHO/OPS & NSA/ANE,,,,
NSA-2025-46-A_5,46,,NSA/ANE,,,,
NSA-2025-46-A_6,46,,NSA/ANE,,,,
NSA-2025-39-A_1,39,,NSA/ANE,"In April 2024, UNITE and PAHO jointly contributed to a high-level parliamentary policy dialogue held during the World Bank and International Monetary Fund Spring Meetings on ‘Health is Wealth - Parliamentarians as Key Players in Health Financing.’ The activity advanced collaboration to strengthen parliamentary engagement on sustainable health financing and pandemic preparedness and response. PAHO provided technical insights on pandemic preparedness and response financing and reinforced parliamentarians’ role in aligning budgets with regional health priorities.","En abril de 2024, UNITE y la OPS contribuyeron conjuntamente a un diálogo político parlamentario de alto nivel celebrado durante las Reuniones de Primavera del BM y el FMI sobre ""La salud es riqueza: los parlamentarios como actores clave en la financiación de la salud"". La actividad promovió la colaboración para fortalecer el compromiso parlamentario en la financiación sostenible de la salud y la preparación y respuesta ante pandemias. La OPS proporcionó conocimientos técnicos sobre la financiación de la preparación y respuesta (PPR) y reforzó el papel de los parlamentarios en la alineación de los presupuestos con las prioridades de salud regionales.","- Parliamentarians from all over the world gained a better understanding of the societal relevance of health, the economic pressures on healthcare systems, and the need for countries to actively engage at both national and international levels.
- Highlighted parliamentarians’ role in addressing financial constraints and engaging at national and international levels, and identified UNITE’s IFGH as a key connector for national and international budgetary issues and a supporter of 11 sustainable health investments in health.
- Raised awareness among parliamentarians on the importance of an agreement on pandemic prevention and the opportunities for their involvement in its discussions.","- Los parlamentarios de todo el mundo adquirieron una mejor comprensión de la relevancia social de la salud, las presiones económicas sobre los sistemas de salud y la necesidad de que los países se involucren activamente tanto a nivel nacional como internacional.
- Se destacó el papel de los parlamentarios en la atención a las limitaciones financieras y en el compromiso a niveles nacional e internacional, y se identificó el IFGH de UNITE como un conector clave para los problemas presupuestarios nacionales e internacionales y un defensor de 11 inversiones sostenibles en salud.
- Se concienció a los parlamentarios sobre la importancia de un acuerdo sobre la prevención de pandemias y las oportunidades para su participación en las discusiones al respecto."
NSA-2025-39-A_2,39,,PAHO/OPS & NSA/ANE,"In March 2024, UNITE, in collaboration with PAHO, held a regional parliamentary dialogue for Latin America and the Caribbean under the ‘Let’s Talk Health’ initiative, focusing on antimicrobial resistance (AMR). This activity was part of organized regional engagements where PAHO offers technical input, regional evidence, and policy guidance to inform parliamentary discussions on priority health issues. PAHO contributed through its AMR Special Program, supporting evidence-based dialogue on legislation, budgeting, and implementation challenges in the region.","En marzo de 2024, UNITE, en conjunto con la OPS, llevó a cabo un diálogo parlamentario regional para América Latina y el Caribe bajo la iniciativa 'Hablemos de Salud', centrado en la RAM. La actividad fue parte de compromisos regionales estructurados donde la OPS proporciona insumos técnicos, evidencia regional y orientación política para informar las discusiones parlamentarias sobre temas de salud prioritarios. La OPS contribuyó a través de su Programa Especial de RAM, apoyando un diálogo basado en evidencia sobre legislación, presupuestos y desafíos de implementación en la Región.","As part of its ""Let's Talk Health"" initiative—a series of dedicated regional sessions focused on relevant global health priorities—UNITE provided parliamentarians from Latin America and the Caribbean with a platform to share best practices, achievements, and challenges related to AMR legislation, budgeting, and implementation. The exchange of experiences regarding policy, budgeting, and implementation offered valuable insights that will help inform future legislative proposals. PAHO provided the latest evidence-based data on AMR, giving parliamentarians a regional perspective. This strengthened the capacity of parliamentarians to integrate PAHO's technical guidance into national AMR legislative and oversight processes.","- Como parte de su iniciativa ""Hablemos de Salud"" - un conjunto de sesiones regionales dedicadas a prioridades globales de salud relevantes, UNITE proporcionó a los parlamentarios de América Latina y el Caribe una plataforma para compartir mejores prácticas, logros y desafíos relacionados con la legislación, el presupuesto y la implementación sobre RAM.
- El intercambio de experiencias—sobre políticas, presupuestos e implementación—ofreció valiosos conocimientos que ayudan a informar futuras propuestas legislativas.
- La OPS proporcionó los últimos datos basados en evidencia sobre RAM, brindando a los parlamentarios un panorama regional.
- Se fortaleció la capacidad de los parlamentarios para integrar la orientación técnica de la OPS en los procesos legislativos y de supervisión nacionales sobre RAM."
